city,county,yr2007,yr2008,yr2009,yr2010,yr2011,yr2012,yr2013,yr2014,yr2015,percent,round2007,round2015
Puyallup,Pierce,286100,273400,246700,233300,217600,198900,204900,239200,247200,-13.6%,286,247
Ravensdale,King,488300,441500,414100,375800,334100,319700,349600,376500,414500,-15.1%,488,415
Redmond,King,546100,528000,471300,451000,430700,420600,480100,535400,575900,5.5%,546,576
Renton,King,375800,354200,313100,287300,255200,244600,271800,308100,332800,-11.4%,376,333
Riverton-Boulevard Park,King,297200,284300,248400,224400,187500,168400,195300,218600,241500,-18.7%,297,242
Roy,Pierce,341000,312000,282500,271200,260700,243200,259700,275700,282600,-17.1%,341,283
Sammamish,King,649400,634900,561800,528600,525900,519600,571500,644000,687700,5.9%,649,688
Seatac,King,300600,287200,251100,227900,190400,177200,199300,225200,245400,-18.4%,301,245
Seattle,King,456100,448900,400900,389600,366200,364900,412200,450700,481300,5.5%,456,481
Seattle Hill-Silver Firs,Snohomish,380100,361700,318000,297100,269300,257100,290500,337100,352000,-7.4%,380,352
Shoreline,King,377900,372000,335000,315900,289900,278100,312800,351700,383200,1.4%,378,383
Snohomish,Snohomish,443900,425200,386400,354400,328900,313600,353300,383200,411600,-7.3%,444,412
Snoqualmie,King,483400,447200,411400,391200,373900,350300,370700,426300,468100,-3.2%,483,468
South Hill,Pierce,289600,270700,243900,231600,215800,195800,205400,232600,245600,-15.2%,290,246
Spanaway,Pierce,256000,235700,211800,200800,183800,165200,172000,198800,210200,-17.9%,256,210
Stanwood,Snohomish,371300,347600,321700,295000,266300,255500,304400,299800,327300,-11.9%,371,327
Steilacoom,Pierce,331900,317000,284000,281300,265400,243800,251100,272400,285400,-14.0%,332,285
Sultan,Snohomish,267500,260800,233000,206400,178700,145600,182400,187000,222200,-16.9%,268,222
Summit,Pierce,314200,296900,270100,252300,234100,214500,217100,248400,259700,-17.3%,314,260
Sumner,Pierce,303300,287500,257100,243500,222600,204200,207100,239800,251700,-17.0%,303,252
Tacoma,Pierce,241800,230500,209300,192200,174000,157600,163600,183500,191900,-20.6%,242,192
Tukwila,King,302900,288400,257000,229900,190500,173100,192800,220500,240200,-20.7%,303,240
University Place,Pierce,336200,325700,297500,281900,266900,255300,261000,283400,296900,-11.7%,336,297
Vashon,King,590300,562700,503900,481000,437100,411000,429200,476000,467700,-20.8%,590,468
Waller,Pierce,332400,319400,288800,259800,239300,225900,235000,260400,272600,-18.0%,332,273
West Lake Stevens,Snohomish,314700,298100,259200,240900,212700,199000,226300,248900,275300,-12.5%,315,275
White Center,King,311500,299500,266300,233900,203600,176600,200900,239900,259600,-16.7%,312,260
Woodinville,King,586200,566900,504100,464100,462500,437700,481900,543200,582100,-0.7%,586,582
Woods Creek,Snohomish,403100,404400,363000,327400,285700,272000,296500,337900,369000,-8.5%,403,369
Woodway,Snohomish,1234700,1201000,1057900,984700,894500,844400,941300,1031300,1101000,-10.8%,1235,1101
